x,y,z
-0.860148926837278,-2.09806178945009,-7.950418532457505e-11
-0.798421615266996,-2.09806178945009,-2.0055812252338328e-9
-0.736694303696715,-2.09806178945009,-2.4472393427544607e-8
-0.674966992126433,-2.09806178945009,-8.885862842015037e-8
-0.613239680556151,-2.09806178945009,-6.453747270249007e-8
-0.551512368985869,-2.09806178945009,-1.0846011709600996e-8
-0.489785057415588,-2.09806178945009,-1.5578869291616527e-9
-0.428057745845306,-2.09806178945009,-6.641008840650931e-10
-0.366330434275025,-2.09806178945009,-1.3798661722764255e-10
-0.304603122704743,-2.09806178945009,-3.14404796927978e-11
-0.242875811134461,-2.09806178945009,-7.433764700070361e-11
-0.181148499564179,-2.09806178945009,2.495354827722626e-9
-0.119421187993897,-2.09806178945009,1.7300107429165735e-7
-0.0576938764236152,-2.09806178945009,6.733085314069545e-6
0.00403343514666653,-2.09806178945009,3.413782388721372e-5
0.0657607467169483,-2.09806178945009,4.267470954179205e-6
0.12748805828723,-2.09806178945009,9.61022924634422e-8
0.189215369857511,-2.09806178945009,-2.3738294453030175e-9
0.250942681427793,-2.09806178945009,-2.3337467363658484e-8
0.312669992998075,-2.09806178945009,-3.6913941657588225e-8
0.374397304568356,-2.09806178945008,1.6310957948715733e-7
0.436124616138638,-2.09806178945009,4.766593690675992e-6
0.49785192770892,-2.09806178945009,1.2215583466521128e-5
0.559579239279201,-2.09806178945009,-9.462633942995316e-6
-0.860148926837278,-2.04972047972622,-7.268650603697715e-12
-0.798421615266996,-2.04972047972622,-1.187351504742884e-10
-0.736694303696715,-2.04972047972622,-9.275069111989148e-10
-0.674966992126433,-2.04972047972622,-2.5437238811485393e-9
-0.613239680556151,-2.04972047972622,-1.9893099057417758e-9
-0.551512368985869,-2.04972047972622,-4.807643541080829e-10
-0.489785057415588,-2.04972047972622,-7.12061795612485e-11
-0.428057745845306,-2.04972047972622,-2.32543544470812e-11
-0.366330434275024,-2.04972047972622,-2.7818564510517355e-11
-0.304603122704742,-2.04972047972622,-4.1012690823968314e-10
-0.242875811134461,-2.04972047972622,-3.265374731381845e-9
-0.181148499564179,-2.04972047972622,-6.89448979220143e-9
-0.119421187993897,-2.04972047972622,1.520254759232832e-8
-0.0576938764236152,-2.04972047972622,2.9299864913180024e-7
0.00403343514666653,-2.04972047972622,8.002683428640871e-7
0.0657607467169483,-2.04972047972622,2.3587785461433597e-7
0.12748805828723,-2.04972047972622,3.098738247099387e-8
0.189215369857511,-2.04972047972622,-2.239973607139251e-8
0.250942681427793,-2.04972047972622,-4.730810948336055e-8
0.312669992998075,-2.04972047972622,-4.0437942550485946e-9
0.374397304568357,-2.04972047972622,8.734883459841284e-7
0.436124616138638,-2.04972047972622,8.011554986635259e-5
0.49785192770892,-2.04972047972622,0.0006140925846666563
0.559579239279202,-2.04972047972622,-0.00022855583142575113
0.621306550849484,-2.04972047972622,-0.0006154526355484991
-0.92187623840756,-2.00137917000236,-2.7704556751365524e-14
-0.860148926837278,-2.00137917000236,-5.129786277279508e-13
-0.798421615266997,-2.00137917000236,-5.846780602507002e-12
-0.736694303696714,-2.00137917000236,-3.301504041192088e-11
-0.674966992126433,-2.00137917000236,-7.541431189798336e-11
-0.613239680556151,-2.00137917000236,-6.180423413013614e-11
-0.551512368985869,-2.00137917000236,-1.911593281164027e-11
-0.489785057415588,-2.00137917000236,-3.382182703257688e-12
-0.428057745845306,-2.00137917000236,-5.554726663587706e-12
-0.366330434275024,-2.00137917000236,-2.1502691492550185e-10
-0.304603122704743,-2.00137917000236,-6.611611609677572e-9
-0.242875811134461,-2.00137917000236,-9.126684521356584e-8
-0.181148499564179,-2.00137917000236,-2.7591197226633765e-7
-0.119421187993897,-2.00137917000236,-1.0936733374149524e-7
-0.0576938764236152,-2.00137917000236,4.4235719712513565e-9
0.00403343514666653,-2.00137917000236,1.0305802845121455e-7
0.0657607467169483,-2.00137917000236,7.123362851265269e-7
0.12748805828723,-2.00137917000236,7.392075879816067e-7
0.189215369857512,-2.00137917000236,-7.11647515759534e-7
0.250942681427793,-2.00137917000236,-1.8029945372870607e-6
0.312669992998075,-2.00137917000236,-2.5421571202663513e-7
0.374397304568356,-2.00137917000236,1.0458928933176128e-6
0.436124616138638,-2.00137917000236,0.00012233452452678207
0.49785192770892,-2.00137917000236,0.001532435519118303
0.559579239279201,-2.00137917000236,-0.0003821113437905548
0.621306550849484,-2.00137917000236,-0.0012544381728794587
-0.92187623840756,-1.9530378602785,-2.339781877254922e-14
-0.860148926837278,-1.9530378602785,-5.899520964526181e-14
-0.798421615266997,-1.9530378602785,-2.762244313332598e-13
-0.736694303696715,-1.9530378602785,-1.1466188821694098e-12
-0.674966992126433,-1.9530378602785,-2.2936348700491643e-12
-0.613239680556151,-1.9530378602785,-1.940492824044265e-12
-0.551512368985869,-1.9530378602785,-7.195993299143894e-13
-0.489785057415587,-1.9530378602785,-4.21589552333163e-13
-0.428057745845306,-1.9530378602785,-1.9619025161247883e-11
-0.366330434275025,-1.9530378602785,-1.2913935730225192e-9
-0.304603122704742,-1.9530378602785,-7.008176711189872e-8
-0.242875811134461,-1.9530378602785,-2.1416792228050417e-6
-0.181148499564179,-1.9530378602785,-1.1345248574779276e-5
-0.119421187993897,-1.9530378602785,-2.8223456241679742e-6
-0.0576938764236156,-1.9530378602785,-8.232625526005969e-8
0.00403343514666653,-1.9530378602785,1.0722892831684142e-6
0.0657607467169478,-1.9530378602785,2.358007347918204e-5
0.12748805828723,-1.9530378602785,2.7707493916351657e-5
0.189215369857512,-1.9530378602785,-1.6327108788482134e-5
0.250942681427793,-1.9530378602785,-7.518848255330311e-5
0.312669992998075,-1.9530378602785,-3.27532534607599e-6
0.374397304568356,-1.9530378602785,2.3809746418326715e-7
0.436124616138638,-1.9530378602785,1.0037178694960586e-5
0.49785192770892,-1.9530378602785,3.025383894668015e-5
0.559579239279202,-1.9530378602785,-2.1432466688281316e-5
0.621306550849484,-1.9530378602785,-4.01056646062109e-5
0.683033862419766,-1.9530378602785,-2.146081185427225e-6
-0.983603549977841,-1.90469655055464,-2.083668789938565e-13
-0.92187623840756,-1.90469655055464,-6.570853121715133e-13
-0.860148926837278,-1.90469655055464,-9.348709742099989e-13
-0.798421615266996,-1.90469655055464,-5.866776841732993e-13
-0.736694303696715,-1.90469655055464,-2.011606675427726e-13
-0.674966992126433,-1.90469655055464,-9.439644086349186e-14
-0.613239680556151,-1.90469655055464,-6.358213510451835e-14
-0.551512368985869,-1.90469655055464,-3.2622738157703225e-14
-0.489785057415588,-1.90469655055464,-5.522379362078456e-13
-0.428057745845306,-1.90469655055464,-4.592597040738988e-11
-0.366330434275024,-1.90469655055464,-3.95205618377901e-9
-0.304603122704743,-1.90469655055464,-3.462699301615343e-7
-0.242875811134461,-1.90469655055464,-2.824149966768379e-5
-0.181148499564179,-1.90469655055464,-0.0005881981916373706
-0.119421187993897,-1.90469655055464,-4.297638419549092e-5
-0.0576938764236152,-1.90469655055464,-4.861151795359648e-7
0.00403343514666653,-1.90469655055464,5.4841816008751385e-6
